"tp","tn","fp","fn","precision","recall","f1_score","support","accuracy","support"
5526,46823,46297,5000,0.11,0.52,0.18,10526,0.51,103646
46823,5526,5000,46297,0.9,0.5,0.65,93120,0.51,103646
