,precision,recall,f1-score,support
NOR,0.23703703703703705,0.047128129602356406,0.07862407862407862,1358.0
VAR,0.47097301717089124,0.8483063328424153,0.6056782334384857,1358.0
accuracy,0.4477172312223859,0.4477172312223859,0.4477172312223859,0.4477172312223859
macro avg,0.35400502710396414,0.4477172312223858,0.34215115603128216,2716.0
weighted avg,0.35400502710396414,0.4477172312223859,0.34215115603128216,2716.0
