,precision,recall,f1-score,support
NOR,0.6323529411764706,0.7263513513513513,0.6761006289308176,296.0
VAR,0.6785714285714286,0.5777027027027027,0.624087591240876,296.0
accuracy,0.652027027027027,0.652027027027027,0.652027027027027,0.652027027027027
macro avg,0.6554621848739496,0.652027027027027,0.6500941100858468,592.0
weighted avg,0.6554621848739496,0.652027027027027,0.6500941100858468,592.0
