,precision,recall,f1-score,support
NOR,0.3452830188679245,0.13475699558173784,0.19385593220338979,1358.0
VAR,0.4624885635864593,0.7444771723122239,0.5705417607223476,1358.0
accuracy,0.43961708394698085,0.43961708394698085,0.43961708394698085,0.43961708394698085
macro avg,0.4038857912271919,0.43961708394698085,0.3821988464628687,2716.0
weighted avg,0.40388579122719187,0.43961708394698085,0.38219884646286867,2716.0
