,precision,recall,f1-score,support
NOR,0.8600216258724074,0.9200757177410874,0.8890356671070013,9509.0
VAR,0.9140757490107405,0.8502471342938269,0.8810068649885584,9509.0
accuracy,0.8851614260174572,0.8851614260174572,0.8851614260174572,0.8851614260174572
macro avg,0.887048687441574,0.8851614260174572,0.8850212660477799,19018.0
weighted avg,0.8870486874415738,0.8851614260174572,0.8850212660477799,19018.0
