,precision,recall,f1-score,support
NOR,0.8653295128939829,0.9216683621566633,0.8926108374384236,1966.0
VAR,0.9099415204678363,0.8465723612622416,0.8771138669673055,1838.0
accuracy,0.8853838065194533,0.8853838065194533,0.8853838065194533,0.8853838065194533
macro avg,0.8876355166809096,0.8841203617094524,0.8848623522028646,3804.0
weighted avg,0.8868849466270907,0.8853838065194533,0.8851230793611589,3804.0
