,precision,recall,f1-score,support
NOR,0.8764948453608248,0.9159663865546218,0.8957960172795278,4641.0
VAR,0.9103035878564857,0.8685538731621681,0.8889387984278496,4557.0
accuracy,0.8924766253533377,0.8924766253533377,0.8924766253533377,0.8924766253533377
macro avg,0.8933992166086553,0.892260129858395,0.8923674078536887,9198.0
weighted avg,0.8932448387890405,0.8924766253533377,0.8923987193552946,9198.0
