,precision,recall,f1-score,support
NOR,0.7869446962828649,0.8697394789579158,0.826273203236554,998.0
VAR,0.8544232922732363,0.7645290581162325,0.8069804336329985,998.0
accuracy,0.8171342685370742,0.8171342685370742,0.8171342685370742,0.8171342685370742
macro avg,0.8206839942780506,0.8171342685370742,0.8166268184347762,1996.0
weighted avg,0.8206839942780506,0.8171342685370742,0.8166268184347761,1996.0
