,precision,recall,f1-score,support
NOR,0.7495867768595041,0.908817635270541,0.8215579710144927,998.0
VAR,0.8842239185750637,0.6963927855711423,0.7791479820627804,998.0
accuracy,0.8026052104208417,0.8026052104208417,0.8026052104208417,0.8026052104208417
macro avg,0.8169053477172838,0.8026052104208417,0.8003529765386366,1996.0
weighted avg,0.8169053477172838,0.8026052104208417,0.8003529765386365,1996.0
