,precision,recall,f1-score,support
NOR,0.8075153374233128,0.7754050073637703,0.7911344853493614,1358.0
VAR,0.7839943342776204,0.8151693667157585,0.7992779783393503,1358.0
accuracy,0.7952871870397643,0.7952871870397643,0.7952871870397643,0.7952871870397643
macro avg,0.7957548358504667,0.7952871870397644,0.7952062318443558,2716.0
weighted avg,0.7957548358504667,0.7952871870397643,0.795206231844356,2716.0
